city,census,rank,state,estimate,change
Beaumont,"118,296",239,"Texas
","118,428",+0.11%
Lansing,"114,297",240,"Michigan
","118,427",+3.61%
Evansville,"117,429",241,"Indiana
","117,963",+0.45%
Rochester,"106,769",242,"Minnesota
","116,961",+9.55%
Independence,"116,830",243,"Missouri
","116,925",+0.08%
Fairfield,"105,321",244,"California
","116,884",+10.98%
Provo,"112,488",245,"Utah
","116,702",+3.75%
Clearwater,"107,685",246,"Florida
","116,478",+8.17%
College Station,"93,857",247,"Texas
","116,218",+23.82%
West Jordan,"103,712",248,"Utah
","116,046",+11.89%
Carlsbad,"105,328",249,"California
","115,877",+10.02%
El Monte,"113,475",250,"California
","115,586",+1.86%
Murrieta,"103,466",251,"California
","114,985",+11.13%
Temecula,"100,097",252,"California
","114,742",+14.63%
Springfield,"116,250",253,"Illinois
","114,694",−1.34%
Palm Bay,"103,190",254,"Florida
","114,194",+10.66%
Costa Mesa,"109,960",255,"California
","113,615",+3.32%
Westminster,"106,114",256,"Colorado
","113,479",+6.94%
North Charleston,"97,471",257,"South Carolina
","113,237",+16.18%
Miami Gardens,"107,167",258,"Florida
","113,069",+5.51%
Manchester,"109,565",259,New Hampshire,"112,525",+2.70%
High Point,"104,371",260,"North Carolina
","112,316",+7.61%
Downey,"111,772",261,"California
","112,269",+0.44%
Clovis,"95,631",262,"California
","112,022",+17.14%
Pompano Beach,"99,845",263,"Florida
","111,954",+12.13%
Pueblo,"106,595",264,"Colorado
","111,750",+4.84%
Elgin,"108,188",265,"Illinois
","111,683",+3.23%
Lowell,"106,519",266,"Massachusetts
","111,670",+4.84%
Antioch,"102,372",267,"California
","111,535",+8.95%
West Palm Beach,"99,919",268,"Florida
","111,398",+11.49%
Peoria,"115,007",269,"Illinois
","111,388",−3.15%
Everett,"103,019",270,"Washington
","111,262",+8.00%
Ventura,"106,433",271,"California
","111,128",+4.41%
Centennial,"100,377",272,"Colorado
","110,831",+10.41%
Lakeland,"97,422",273,"Florida
","110,516",+13.44%
Gresham,"105,594",274,"Oregon
","110,158",+4.32%
Richmond,"103,701",275,"California
","110,146",+6.21%
Billings,"104,170",276,Montana,"109,550",+5.16%
Inglewood,"109,673",277,"California
","109,419",−0.23%
Broken Arrow,"98,850",278,"Oklahoma
","109,171",+10.44%
Sandy Springs,"93,853",279,"Georgia
","108,797",+15.92%
Jurupa Valley,0,280,"California
","108,393",NA
Hillsboro,"91,611",281,"Oregon
","108,389",+18.31%
Waterbury,"110,366",282,"Connecticut
","108,093",−2.06%
Santa Maria,"99,553",283,"California
","107,408",+7.89%
Boulder,"97,385",284,"Colorado
","107,353",+10.24%
Greeley,"92,889",285,"Colorado
","107,348",+15.57%
Daly City,"101,123",286,"California
","107,008",+5.82%
Meridian,"75,092",287,"Idaho
","106,804",+42.23%
Lewisville,"95,290",288,"Texas
","106,586",+11.85%
Davie,"91,992",289,"Florida
","106,558",+15.83%
West Covina,"106,098",290,"California
","106,311",+0.20%
League City,"83,560",291,"Texas
","106,244",+27.15%
Tyler,"96,900",292,"Texas
","105,729",+9.11%
Norwalk,"105,549",293,"California
","105,120",−0.41%
San Mateo,"97,207",294,"California
","105,025",+8.04%
Green Bay,"104,057",295,"Wisconsin
","104,879",+0.79%
Wichita Falls,"104,553",296,"Texas
","104,576",+0.02%
Sparks,"90,264",297,"Nevada
","104,246",+15.49%
Lakewood,"92,843",298,"New Jersey
","104,157",+12.19%
Burbank,"103,340",299,"California
","103,695",+0.34%
Rialto,"99,171",300,"California
","103,440",+4.30%
Allen,"84,246",301,"Texas
","103,383",+22.72%
El Cajon,"99,478",302,"California
","103,241",+3.78%
Las Cruces,"97,618",303,"New Mexico
","102,926",+5.44%
