Date,Text,Link
2020-01-17 13:37,General Contractor - Estimator Wanted Immediately,https://newyork.craigslist.org/stn/egr/d/staten-island-general-contractor/7057897320.html
2020-01-17 13:19,ARCHITECT Senior/ Intermediate,https://newyork.craigslist.org/que/egr/d/bayside-architect-senior-intermediate/7057881026.html
2020-01-17 13:06,Engineering/Architectural CAD Operator,https://newyork.craigslist.org/stn/egr/d/staten-island-engineering-architectural/7057870003.html
2020-01-17 11:37,Career Opportunities in Engineering for Immigrant Professionals,https://newyork.craigslist.org/mnh/egr/d/new-york-career-opportunities-in/7057792523.html
2020-01-17 11:10,Architecture Project Manager,https://newyork.craigslist.org/brk/egr/d/brooklyn-architecture-project-manager/7057770577.html
2020-01-17 10:54,Construction Project Manager / Project Manager / Const. Superintendent,https://newyork.craigslist.org/brk/egr/d/new-york-construction-project-manager/7057758260.html
2020-01-17 10:52,PROJECT MANAGER,https://newyork.craigslist.org/mnh/egr/d/new-york-project-manager/7057756761.html
2020-01-17 10:23,Experienced Architect/Drafter,https://newyork.craigslist.org/brk/egr/d/brooklyn-experienced-architect-drafter/7057735724.html
2020-01-17 10:17,Experienced Architect/Drafter,https://newyork.craigslist.org/brk/egr/d/brooklyn-experienced-architect-drafter/7057731846.html
2020-01-17 07:41,AV Field Engineer,https://newyork.craigslist.org/mnh/egr/d/new-york-av-field-engineer/7057656189.html
2020-01-17 07:38,AV Associate Engineer,https://newyork.craigslist.org/mnh/egr/d/new-york-av-associate-engineer/7057655582.html
2020-01-16 13:29,Maintenance Technician,https://newyork.craigslist.org/brk/egr/d/brooklyn-maintenance-technician/7057250493.html
2020-01-15 17:39,Drafters Needed,https://newyork.craigslist.org/que/egr/d/east-elmhurst-drafters-needed/7056803202.html
2020-01-15 15:09,Junior Architect/Draft person,https://newyork.craigslist.org/mnh/egr/d/new-york-junior-architect-draft-person/7056696382.html
2020-01-15 14:55,Midtown Architecture Office searching for an Architecture Candidate,https://newyork.craigslist.org/mnh/egr/d/new-york-midtown-architecture-office/7056685398.html
2020-01-15 12:59,Registered Architect,https://newyork.craigslist.org/mnh/egr/d/new-york-registered-architect/7056591833.html
2020-01-15 11:48,Architectural Junior/Senior Drafter,https://newyork.craigslist.org/lgi/egr/d/huntington-station-architectural-junior/7056532602.html
2020-01-15 11:40,Architectural Senior Drafter/Job Captain,https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-senior-drafter/7056525899.html
2020-01-14 16:15,Construction APM / Administrator Role,https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-apm-administrator/7056106668.html
2020-01-14 15:49,Draftsman/estimator/assistant project manager.,https://newyork.craigslist.org/que/egr/d/draftsman-estimator-assistant-project/7056086983.html
2020-01-14 14:44,AutoCad Drafter - MEP Engineering,https://newyork.craigslist.org/brk/egr/d/brooklyn-autocad-drafter-mep-engineering/7056037024.html
2020-01-14 13:17,Junior Architect/ Estimator,https://newyork.craigslist.org/que/egr/d/astoria-junior-architect-estimator/7055965972.html
2020-01-14 12:09,Project Architect Wanted in Industry City,https://newyork.craigslist.org/brk/egr/d/brooklyn-project-architect-wanted-in/7055908472.html
2020-01-14 10:23,JUNIOR ENGINEER / ARCHITECT,https://newyork.craigslist.org/mnh/egr/d/new-york-junior-engineer-architect/7055826729.html
2020-01-14 08:11,Assistant for busy CEO of high end prefab start up (Russian&English),https://newyork.craigslist.org/mnh/egr/d/new-york-assistant-for-busy-ceo-of-high/7055757186.html
2020-01-13 18:04,Assistant Project Manager - Construction and Development,https://newyork.craigslist.org/mnh/egr/d/new-york-assistant-project-manager/7055529682.html
2020-01-13 12:16,Architect -Full Time-Immediate Hire,https://newyork.craigslist.org/stn/egr/d/architect-full-time-immediate-hire/7055253240.html
